area_type,availability,location,id,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Hennur Road,3111,5,,5600,5,3,515
Super built-up  Area,Ready To Move,Somasundara Palya,3112,2,Srhts P,1260,2,1,60
Super built-up  Area,19-Dec,Hoodi,3113,3,Caycend,1553,3,2,83.09
Super built-up  Area,Ready To Move,Whitefield,3114,2,BMttaor,1280,2,2,52
Super built-up  Area,Ready To Move,Hebbal,3115,3,Arade A,1550,2,2,75
Super built-up  Area,Ready To Move,Arekere,3116,3,,1445,2,2,125
Super built-up  Area,Ready To Move,Murugeshpalya,3117,3,PintsAp,1550,3,2,74
Super built-up  Area,Ready To Move,Electronics City Phase 1,3118,3,SNdri N,1515,2,1,80.91
Super built-up  Area,19-Mar,Hosa Road,3119,3,Skume R,1332,2,1,86.12
Super built-up  Area,Ready To Move,Electronic City,3120,3,Briumri,1652,3,2,70
Super built-up  Area,Ready To Move,Hegde Nagar,3121,3,Sonosty,1570,3,1,105
Plot  Area,Ready To Move,Sarjapur  Road,3122,4,Adeatlm,5400,4,3,725
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3123,1,DShtsow,794,1,1,60
Plot  Area,Ready To Move,Seegehalli,3124,3,,1200,2,0,62
Built-up  Area,Ready To Move,7th Phase JP Nagar,3125,4,RBRWAyo,3600,3,2,410
Plot  Area,Ready To Move,Hosakerehalli,3126,3,,1200,3,2,175
Super built-up  Area,Ready To Move,JP Nagar,3127,4,,1650,3,1,220
Plot  Area,Ready To Move,Chandra Layout,3128,4,,600,2,1,85
Super built-up  Area,Ready To Move,HRBR Layout,3129,3,VDenaWa,2800,3,2,250
Super built-up  Area,Ready To Move,Sarjapur  Road,3130,3,SocusHi,1750,3,2,110
Built-up  Area,Ready To Move,Hebbal,3131,2,,1053,2,1,48
Super built-up  Area,21-Dec,Kanakpura Road,3132,3,PrarePa,1100,3,2,53
Super built-up  Area,Ready To Move,Kadubeesanahalli,3133,3,Srhan P,1665,3,3,70
Plot  Area,Ready To Move,Outer Ring Road East,3134,4,PrstaTe,4051,4,3,345
Plot  Area,Ready To Move,Malleshwaram,3135,4,,5500,5,1,1500
Built-up  Area,Ready To Move,Bommasandra,3136,3,KBaleoy,1447,3,2,80
Built-up  Area,Ready To Move,Balagere,3137,2,Soresea,1012,2,1,75
Super built-up  Area,Ready To Move,Malleshpalya,3138,3,Saestde,1900,3,2,60
Super built-up  Area,Ready To Move,Narayanapura,3139,2,AriosHe,1308,2,2,92.66
Super built-up  Area,Ready To Move,Green Glen Layout,3140,4,,3250,4,,230
Super built-up  Area,Ready To Move,Hormavu,3141,1,,1351,2,1,53
Super built-up  Area,Ready To Move,Electronic City,3142,2,,1000,2,2,22
Plot  Area,Ready To Move,J P Nagar 7th Phase Ramayya City,3143,4,,1200,4,2,350
Super built-up  Area,18-Aug,Gunjur,3144,2,BMineis,1140,2,2,49.11
Super built-up  Area,22-May,Jakkur,3145,4,SoineC ,2249.81,4,0,260.5
Built-up  Area,Ready To Move,Uttarahalli,3146,3,,1250,2,1,55
Super built-up  Area,Ready To Move,Kanakapura,3147,3,SPavenc,1290,3,3,45.15
Super built-up  Area,Ready To Move,Ambedkar Nagar,3148,2,SoechHa,1424,2,2,90
Super built-up  Area,Ready To Move,Garudachar Palya,3149,3,,1320,2,2,60.6
Built-up  Area,Ready To Move,Akshaya Nagar,3150,3,DLhtsnd,1662,3,2,85.5
Super built-up  Area,Ready To Move,Shanthala Nagar,3151,5,Kierser,8321,5,3,2700
Super built-up  Area,Ready To Move,Begur Road,3152,2,Dhalsh ,1200,2,2,45
Built-up  Area,Ready To Move,Koramangala,3153,3,Jalonht,1975,3,,210
Super built-up  Area,Ready To Move,Garudachar Palya,3154,3,,1295,2,2,59.5
Super built-up  Area,Ready To Move,Battarahalli,3155,3,PaontWa,1777,3,2,100
Super built-up  Area,18-Apr,Kadugodi,3156,3,,1900,3,,108
Super built-up  Area,17-Jul,Anandapura,3157,3,ViensRK,1576,3,2,59.1
Super built-up  Area,Ready To Move,Sompura,3158,2,,1020,2,3,41
Super built-up  Area,Ready To Move,Green Domain Layout,3159,3,,2100,3,3,170
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,3160,1,Prllsan,648,1,1,31.75
Super built-up  Area,Ready To Move,Neeladri Nagar,3161,3,AdingSV,1167,2,1,38
Plot  Area,Ready To Move,Vyalikaval,3162,7,,1000,7,3,160
Super built-up  Area,Ready To Move,Hoodi,3163,2,,1220,2,2,50.89
Super built-up  Area,Ready To Move,Kogilu,3164,3,Leora E,2350,5,1,327
Super built-up  Area,Ready To Move,Vittasandra,3165,2,,1259,2,1,67.4
Built-up  Area,Ready To Move,Gottigere,3166,4,,2000,4,2,82
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3167,3,,1800,3,1,80
Built-up  Area,Ready To Move,Cleveland Town,3168,3,Coner C,1991,3,2,160
Super built-up  Area,Ready To Move,Bannerghatta,3169,3,,1665,3,3,110
Built-up  Area,20-Dec,"Hoodi Circle, ",3170,2,,1234,2,1,61
Super built-up  Area,Ready To Move,Mysore Road,3171,3,,1340,2,2,64.31
Super built-up  Area,Ready To Move,Banashankari,3172,2,,1170,2,2,46.79
Built-up  Area,Ready To Move,Electronics City Phase 1,3173,2,,995,2,0,46
Super built-up  Area,Ready To Move,Old Airport Road,3174,2,,1075,2,2,60
Super built-up  Area,18-Apr,Electronic City,3175,2,,1025,2,1,54.5
Super built-up  Area,Ready To Move,Rachenahalli,3176,3,NRodsen,2721,3,2,113
Super built-up  Area,Ready To Move,Thanisandra,3177,3,Bhmesy ,2000,3,2,99
Super built-up  Area,Ready To Move,Whitefield,3178,4,Sanne E,2500,4,3,155
Super built-up  Area,Ready To Move,Mallasandra,3179,2,GMilse ,1325,2,2,70
Super built-up  Area,18-Apr,Kadugodi,3180,2,Alestrb,1314,2,3,68.2
Super built-up  Area,21-Feb,Kanakpura Road,3181,3,,2265,3,2,136
Built-up  Area,Ready To Move,7th Phase JP Nagar,3182,7,,4800,7,0,170
Super built-up  Area,21-Dec,Yelahanka,3183,2,,1026,2,1,41
Built-up  Area,Ready To Move,Syndicate Bank Colony,3184,3,,1200,3,2,66
Built-up  Area,Ready To Move,Kada Agrahara,3185,3,ARineha,2220,4,2,65
Super built-up  Area,18-Sep,KR Puram,3186,2,MCnexva,1070,2,0,51.22
Super built-up  Area,18-Dec,Hebbal,3187,2,Mahosya,1420,2,1,99.39
Super built-up  Area,Ready To Move,Sarjapur  Road,3188,3,Ceiti I,1888,4,1,95
Super built-up  Area,18-May,JP Nagar,3189,2,Shestut,1300,2,1,90.87
Super built-up  Area,18-May,Rajaji Nagar,3190,2,Pumesim,1216,2,0,97.16
Plot  Area,19-Dec,"Off Sarjapur road, ",3191,4,,3000,4,3,342
Built-up  Area,Ready To Move,Begur,3192,3,,1559,3,2,63
Super built-up  Area,Ready To Move,Harlur,3193,2,Prncyrn,1290,2,1,87
Plot  Area,Ready To Move,M C Layout,3194,6,,2400,6,,245
Built-up  Area,18-Jun,Whitefield,3195,1,,905,1,1,55
Built-up  Area,Ready To Move,Nanjappa Layout,3196,2,AnazaPl,1069,2,,55
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,3197,2,,829,2,1,22.8
Built-up  Area,Ready To Move,Koramangala,3198,2,Proodt ,1900,2,1,200
Built-up  Area,Ready To Move,Dodda Banaswadi,3199,5,,3040,5,1,140
Built-up  Area,Ready To Move,Sarjapur  Road,3200,3,MJinele,1300,3,2,60
Super built-up  Area,Ready To Move,Channasandra,3201,2,Unm 2El,1115,2,1,33.45
Super built-up  Area,Ready To Move,Rajaji Nagar,3202,3,PhestOn,2409,3,2,360
Super built-up  Area,Ready To Move,Ambedkar Nagar,3203,3,SoechHa,2150,4,2,125
Super built-up  Area,19-Mar,Marathahalli,3204,3,Unezes ,1305,2,1,69
Super built-up  Area,20-Dec,Kanakpura Road,3205,2,GolusLi,1252,2,1,56.32
Plot  Area,Ready To Move,Hosakerehalli,3206,5,,2400,5,,250
Plot  Area,18-Sep,Whitefield,3207,2,,1200,2,1,46.13
Built-up  Area,Ready To Move,Koramangala,3208,3,,1750,3,1,130
Super built-up  Area,Ready To Move,Electronic City Phase II,3209,2,Assha A,545,1,1,35
Plot  Area,Ready To Move,BEL Layout,3210,2,,1375,2,1,105
Super built-up  Area,Ready To Move,Subramanyapura,3211,2,Chllsev,1313,2,2,66.5
Plot  Area,Ready To Move,Attibele,3212,4,,3640,4,1,275
Super built-up  Area,20-Dec,Akshayanagara East,3213,3,,1693,3,2,108
Super built-up  Area,Ready To Move,JCR Layout,3214,2,ARnamru,1160,2,1,41.75
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,3215,3,,1200,3,0,200
Super built-up  Area,Ready To Move,Subramanyapura,3216,3,Mayne A,1255,2,2,79
Plot  Area,Ready To Move,KR Puram,3217,4,,1000,4,1,75
Built-up  Area,Ready To Move,Bellari Road,3218,2,Pralmat,900,2,1,45
Super built-up  Area,Ready To Move,Yelahanka New Town,3219,3,Cerasy ,1700,3,2,90
Carpet  Area,Ready To Move,Indira Nagar,3220,3,Gonorir,1875,3,1,180
Carpet  Area,Ready To Move,Uttarahalli,3221,3,Baveles,1700,3,2,88
Super built-up  Area,Ready To Move,Harlur,3222,3,Prncyrn,1749,3,2,115
Plot  Area,Ready To Move,Dasanapura,3223,2,,1500,3,1,65
Super built-up  Area,Ready To Move,Varanasi,3224,2,,1175,2,1,48
Built-up  Area,Ready To Move,Akshaya Nagar,3225,2,,1280,2,1,60
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,3226,2,Krllael,1200,2,2,50
Super built-up  Area,Ready To Move,Ramagondanahalli,3227,3,DNeremo,1610,2,2,115
Super built-up  Area,Ready To Move,Electronic City,3228,2,GMown E,1070,2,1,46
Plot  Area,Ready To Move,TC Palaya,3229,2,,1200,2,0,66
Super built-up  Area,19-Dec,9th Phase JP Nagar,3230,2,,1127,2,1,50
Built-up  Area,Ready To Move,Indira Nagar,3231,2,VKvenas,1210,2,1,102
Built-up  Area,Ready To Move,Jyothi Nagar,3232,2,,600,2,1,23
Super built-up  Area,Ready To Move,Thigalarapalya,3233,4,Prtanha,4190,4,3,380
Super built-up  Area,Ready To Move,Tata Nagar,3234,2,Shensit,1364,2,2,70
Super built-up  Area,Ready To Move,Whitefield,3235,4,ArsiaEx,2268,3,0,146
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,3236,3,,1150,2,2,77.5
Super built-up  Area,Ready To Move,Tirumanahalli,3237,2,,1146,2,1,39.5
Built-up  Area,Ready To Move,Magadi Road,3238,2,DSellil,1345,2,2,55
Super built-up  Area,Ready To Move,Mylasandra,3239,2,Laowsba,1110,2,2,41
Built-up  Area,Ready To Move,Kengeri,3240,2,VBvenal,750,2,1,36
Built-up  Area,Ready To Move,Motappa Layout,3241,2,Puodse ,1156,2,2,49.5
Super built-up  Area,Ready To Move,Pattandur Agrahara,3242,2,ARvasV ,1247,2,1,59.8
Super built-up  Area,Ready To Move,Mangammanapalya,3243,2,,1058,2,2,60
Super built-up  Area,Ready To Move,Kaggalipura,3244,2,Baowsig,950,2,1,48
Super built-up  Area,Ready To Move,Vasanthapura,3245,2,,420,2,0,35
Plot  Area,Ready To Move,BTM 1st Stage,3246,4,,600,2,2,90
Super built-up  Area,21-Jun,Vijayanagar,3247,3,Saityat,1520,2,1,103
Super built-up  Area,Ready To Move,Marathahalli,3248,2,,1215,2,2,58.86
Built-up  Area,Ready To Move,Raghuvanahalli,3249,1,,900,1,1,30
Super built-up  Area,Ready To Move,Hennur Road,3250,3,Samittv,2350,3,2,174
Super built-up  Area,Ready To Move,Thanisandra,3251,2,,1050,2,2,46
Super built-up  Area,Ready To Move, Devarabeesana Halli,3252,3,Sorisa ,1672,3,2,150
Plot  Area,Ready To Move,Laggere,3253,5,,2800,5,2,125
Super built-up  Area,Ready To Move,MCECHS  layout,3254,3,,1500,2,2,65
Super built-up  Area,Ready To Move,Geddalahalli,3255,2,,1400,2,2,65
Plot  Area,18-May,Whitefield,3256,4,Prtates,500,4,2,378
Built-up  Area,Ready To Move,8th Phase JP Nagar,3257,4,,2700,4,2,130
Super built-up  Area,18-May,Bommasandra,3258,2,SSestth,920,2,1,37.46
Plot  Area,18-Feb,Sarjapur  Road,3259,3,Cetattu,1200,3,2,70
Built-up  Area,Ready To Move,Brindavan Nagar,3260,3,Mancy R,1250,3,2,139
Super built-up  Area,18-Mar,Hosakerehalli,3261,3,SoageHe,1817,4,,153
Plot  Area,Ready To Move,Cooke Town,3262,5,,2043,6,,375
Super built-up  Area,Ready To Move,HSR Layout,3263,2,NRosete,1140,2,2,46
Built-up  Area,Ready To Move,Yelahanka,3264,4,,4346,4,1,450
Super built-up  Area,Ready To Move,Haralur Road,3265,2,NRowse ,1464,2,2,56
Super built-up  Area,Ready To Move,Ambedkar Colony,3266,2,RMcesa ,1468,3,2,130
Super built-up  Area,Ready To Move,Electronics City Phase 1,3267,3,SNdri N,1555,2,1,82
Plot  Area,Ready To Move,Munnekollal,3268,6,,1200,4,2,110
Built-up  Area,Ready To Move,Whitefield,3269,2,SNadeAr,1150,2,0,55
Super built-up  Area,19-Oct,Kadubeesanahalli,3270,2,,970,2,1,35
Super built-up  Area,18-May,Banashankari,3271,4,,2500,4,3,95
Super built-up  Area,Ready To Move,Seetharampalya,3272,2,Mazler ,1166,2,1,53
Plot  Area,Ready To Move,Konanakunte,3273,3,Prasa W,2779,3,1,317
Super built-up  Area,Ready To Move,Electronic City,3274,3,Palleon,1350,3,2,58
Built-up  Area,Ready To Move,Mariyannapalya,3275,2,,900,2,3,46
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3276,3,,1300,2,2,52
Built-up  Area,Ready To Move,Kanaka Nagar,3277,3,SoersTo,1190,3,1,55
Super built-up  Area,Ready To Move,Kodichikkanahalli,3278,3,Suntsan,1495,2,2,75
Built-up  Area,Ready To Move,Indira Nagar,3279,2,Riousd ,1224,2,2,105
Super built-up  Area,Ready To Move,Banashankari Stage III,3280,3,Mandsi ,1350,2,2,68
Built-up  Area,Ready To Move,Green Glen Layout,3281,2,Mazzo P,940,2,1,56.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3282,2,DwntsAp,1100,2,1,55
Super built-up  Area,Ready To Move,Kaikondrahalli,3283,2,Sheurre,1300,2,2,61
Built-up  Area,Ready To Move,Palace Road,3284,3,,1480,2,0,145
Super built-up  Area,Ready To Move,Hoodi,3285,2,,1105,2,2,46.37
Plot  Area,17-Jun,Sarjapur  Road,3286,3,AztheBr,2600,3,2,200
Super built-up  Area,21-Mar,Yelahanka,3287,3,Goues A,1517,3,2,76.3
Built-up  Area,Ready To Move,Horamavu Banaswadi,3288,6,,3800,8,0,200
Super built-up  Area,Ready To Move,Jalahalli,3289,3,,1615,3,2,89.75
Super built-up  Area,Ready To Move,MCECHS  layout,3290,3,,1500,3,2,65
Super built-up  Area,Ready To Move,Mysore Road,3291,3,,1082,3,1,50.5
Super built-up  Area,Ready To Move,Marathahalli,3292,2,Vaoodar,1365,2,2,73
Super built-up  Area,Ready To Move,Electronic City,3293,2,Itelaa ,1000,2,3,25
Super built-up  Area,Ready To Move,CV Raman Nagar,3294,2,Pu270a ,1392,2,1,98
Super built-up  Area,18-Apr,Kodigehalli,3295,2,,1086,2,1,33.66
Super built-up  Area,Ready To Move,Hennur Road,3296,3,ChionCo,1586,3,3,93.94
Built-up  Area,Ready To Move,Hennur,3297,2,,1100,2,1,60
Super built-up  Area,18-May,Electronic City Phase II,3298,2,Sryalan,1065,2,1,30.75
Plot  Area,Ready To Move,TC Palaya,3299,3,,1500,2,1,120
Built-up  Area,Ready To Move,7th Phase JP Nagar,3300,3,Eladero,1575,2,2,120
Super built-up  Area,Ready To Move,Hennur Road,3301,3,,1975,3,3,123
Super built-up  Area,Ready To Move,Nelamangala,3302,2,,820,2,2,24
Super built-up  Area,Ready To Move,Gubbalala,3303,3,MauilTr,1745,3,2,110
Super built-up  Area,Ready To Move,Nagarbhavi,3304,2,SVdhaig,1223,2,1,60
Super built-up  Area,Ready To Move,Ananth Nagar,3305,3,,1200,2,1,65
Super built-up  Area,Ready To Move,Basaveshwara Nagar,3306,2,Niine J,1200,2,0,90
Super built-up  Area,19-Dec,Binny Pete,3307,1,She 2rk,665,1,1,46.08
Super built-up  Area,Ready To Move,Bharathi Nagar,3308,2,FoapeWa,1351,2,2,70
Super built-up  Area,18-Dec,Hebbal,3309,3,Magiaya,1355,3,1,83.87
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3310,3,,3900,3,2,300
Super built-up  Area,18-Nov,Thanisandra,3311,3,,1588,3,1,75.55
Carpet  Area,Ready To Move,Amruthahalli,3312,2,,900,2,1,60
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3313,3,,440,3,0,50
Built-up  Area,18-Feb,Harlur,3314,4,,3385,4,,260
Super built-up  Area,Ready To Move,Panathur,3315,3,Saite G,1370,2,2,75
Plot  Area,18-Dec,Whitefield,3316,3,,1500,3,1,71.8
Super built-up  Area,Ready To Move,Pulikeshi Nagar,3317,3,,2280,3,,285
Super built-up  Area,21-Dec,Kanakpura Road,3318,3,,1100,3,2,53
Built-up  Area,Ready To Move,Hoodi,3319,2,Adion M,1247,2,0,53
Super built-up  Area,19-Dec,Domlur Layout,3320,3,,2000,3,2,200
Super built-up  Area,18-Jul,Balagere,3321,2,Soresea,1020.07,2,1,68.38
Super built-up  Area,19-Dec,Gunjur Palya,3322,3,,1033,2,2,32
Built-up  Area,Ready To Move,B Narayanapura,3323,3,Niidet ,1460,2,3,73
Super built-up  Area,Ready To Move,Garudachar Palya,3324,2,,1150,2,2,52.8
Super built-up  Area,Ready To Move,Sarjapur  Road,3325,5,Maana E,5965,5,,385
Super built-up  Area,Ready To Move,Babusapalaya,3326,2,,1141,2,1,46
Super built-up  Area,Ready To Move,Yelahanka,3327,4,Niareum,2806,6,0,125.5
Plot  Area,Ready To Move,Doddaballapur,3328,4,,4200,4,3,325
Super built-up  Area,18-Jul,Hosa Road,3329,3,Sosisic,1665,2,3,125
Super built-up  Area,18-Dec,Kanakapura,3330,2,GoityEt,1295,2,2,64
Super built-up  Area,18-Aug,Haralur Road,3331,2,SNnia E,1230,2,1,78
Super built-up  Area,Ready To Move,Anand Nagar,3332,3,,1080,2,2,75
Super built-up  Area,Ready To Move,Kaggalipura,3333,2,Baowsig,1000,2,1,60
Super built-up  Area,Ready To Move,Kaval Byrasandra,3334,3,,2400,2,0,50
Super built-up  Area,19-Dec,Whitefield,3335,1,Goted U,613,1,0,32.79
Super built-up  Area,18-May,Rayasandra,3336,3,,1708,3,2,75
Super built-up  Area,Ready To Move,Thanisandra,3337,3,Soitya ,1697,3,2,115
Super built-up  Area,Ready To Move,Whitefield,3338,4,T ZedZe,3537,5,3,210
Super built-up  Area,19-Mar,Hosa Road,3339,1,Skume R,615,1,1,28.29
Built-up  Area,Ready To Move,Banashankari,3340,3,Naashi ,1350,2,0,83
Super built-up  Area,Ready To Move,Kanakpura Road,3341,3,Wiowsri,1430,,,66.4
Super built-up  Area,19-Dec,Jalahalli,3342,2,DSata S,1083,2,1,32.49
Super built-up  Area,Ready To Move,Gottigere,3343,3,Srtusi ,1460,2,2,65
Super built-up  Area,Ready To Move,Babusapalaya,3344,2,,1084,2,1,58
Super built-up  Area,18-May,Bommasandra,3345,2,SSestth,1035,2,1,41.43
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3346,3,,2400,2,1,150
Super built-up  Area,Ready To Move,Hosur Road,3347,1,SLiewce,460,1,1,21
Super built-up  Area,Ready To Move,Narayanappa Layout,3348,5,,950,5,,90
Super built-up  Area,Ready To Move,Whitefield,3349,2,Iseenst,1285,2,2,55.9
Super built-up  Area,Ready To Move,1Hanuman Nagar,3350,19,,2000,16,,490
Plot  Area,Ready To Move,Sarjapur,3351,3,Inensba,1200,3,2,78
Built-up  Area,Ready To Move,Raghuvanahalli,3352,2,Srncykh,1070,2,1,35
Super built-up  Area,Ready To Move,Hegde Nagar,3353,3,SoitaCa,1801,3,2,140
Super built-up  Area,18-Dec,Whitefield,3354,3,Prtates,1697,3,2,115
Super built-up  Area,Ready To Move,AECS Layout,3355,2,CMoryma,1199,2,2,65
Super built-up  Area,Ready To Move,Iblur Village,3356,3,Emine P,2300,3,1,220
Super built-up  Area,Ready To Move,Mysore Road,3357,3,,1340,2,3,64.31
Super built-up  Area,Ready To Move,Marathahalli,3358,4,PueraRi,3800,4,3,205
Plot  Area,Ready To Move,Jigani,3359,5,,600,5,,50
Super built-up  Area,Ready To Move,Wilson Garden,3360,2,Gonoril,1125,2,1,75
Plot  Area,Ready To Move,Anandapura,3361,2,,1200,2,1,67
Built-up  Area,Ready To Move,Subramanyapura,3362,2,Srnumum,1050,2,3,41
Built-up  Area,Ready To Move,Nagarbhavi,3363,2,Jaiewke,956,2,1,49
Super built-up  Area,Ready To Move,Sarjapur,3364,2,Sondaka,1000,2,2,30
Built-up  Area,Ready To Move,Dooravani Nagar,3365,3,Puceswn,1596,3,0,95
Plot  Area,Ready To Move,Kumbhena Agrahara,3366,6,,1200,5,1,150
Super built-up  Area,19-Jul,Kanakpura Road,3367,2,Soazak ,1296,2,3,89.06
Plot  Area,Ready To Move,NS Palya,3368,6,,1200,7,,170
Built-up  Area,Ready To Move,Challaghatta,3369,3,ShanaSp,1639,3,3,123
Super built-up  Area,Ready To Move,Electronic City Phase II,3370,2,Coomee ,1219,2,1,61.25
Built-up  Area,Ready To Move,Uttarahalli,3371,3,,1200,3,1,50
Super built-up  Area,Ready To Move,Bannerghatta Road,3372,2,,1218,2,1,73
Super built-up  Area,Ready To Move,Nyanappana Halli,3373,2,,920,2,3,37
Super built-up  Area,Ready To Move,Yeshwanthpur,3374,3,IBityin,2559,3,2,141
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,3375,1,,525,1,1,26
Super built-up  Area,18-Feb,Bannerghatta Road,3376,3,DSnjh S,1427,2,2,48.51
Super built-up  Area,18-Apr,Kothannur,3377,3,,1270,3,2,45
Built-up  Area,Ready To Move,Ramagondanahalli,3378,2,SVovelm,920,2,3,65
Built-up  Area,Ready To Move,Dommasandra,3379,4,,2700,3,2,68
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,3380,3,,1740,3,2,199
Built-up  Area,Ready To Move,Ramamurthy Nagar,3381,3,,1355,2,,40
Super built-up  Area,Ready To Move,Lingadheeranahalli,3382,3,Soiewre,1530,2,2,90
Carpet  Area,Ready To Move,Gokula Extension,3383,3,,1372,2,1,90
Super built-up  Area,Ready To Move,Nehru Nagar,3384,4,Undge T,2363,5,2,120
Super built-up  Area,Ready To Move,Marathahalli,3385,4,PueraRi,3895,4,3,220
Super built-up  Area,20-Jun,Jakkur,3386,3,SoineC ,1950,3,2,131
Built-up  Area,Ready To Move,Hoysalanagar,3387,2,PNncysi,885,2,3,40
Built-up  Area,Ready To Move,Yelahanka,3388,2,,600,2,2,27
Plot  Area,Ready To Move,Kumaraswami Layout,3389,5,,1270,4,1,128
Plot  Area,Ready To Move,Vijayanagar,3390,2,,1380,2,0,225
Super built-up  Area,Ready To Move,Kanakpura Road,3391,2,PuandHi,1339,2,2,62
Super built-up  Area,Ready To Move,Whitefield,3392,2,SMuilan,1130,2,1,36
Built-up  Area,Ready To Move,Uttarahalli,3393,2,,1085,2,2,43
Built-up  Area,Ready To Move,Yeshwanthpur,3394,3,IBityin,1430,3,2,72
Carpet  Area,18-Dec,Bhoganhalli,3395,4,Rosha I,1451.5,4,1,121
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3396,5,PeBayle,6200,5,,720
Super built-up  Area,Ready To Move,AGS Layout,3397,3,,1490,2,1,59.6
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3398,4,,1650,4,0,99
Super built-up  Area,Ready To Move,Bellandur,3399,2,,1286,2,2,57
Built-up  Area,Ready To Move,KR Garden,3400,2,Saavear,925,2,2,63
Super built-up  Area,Ready To Move,Bellandur,3401,4,Sonyxa ,3016,4,3,230
Built-up  Area,Ready To Move,Haralur Road,3402,2,,1000,2,2,44
Super built-up  Area,Ready To Move,Whitefield,3403,2,SSthamh,1215,2,2,39
Plot  Area,Ready To Move,Kanakadasa Layout,3404,4,,1200,3,1,95
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3405,2,Puarent,1336,2,2,100
Super built-up  Area,Ready To Move,Yeshwanthpur,3406,1,IBityin,673,1,1,36.85
Plot  Area,Ready To Move,Anandapura,3407,2,,1200,2,1,58
Plot  Area,Ready To Move,Lingarajapuram,3408,6,,600,7,2,63
Super built-up  Area,Ready To Move,Malleshwaram,3409,3,,1600,3,3,160
Plot  Area,Ready To Move,Mallathahalli,3410,2,,1200,2,0,79
Plot  Area,Ready To Move,Indira Nagar,3411,6,,2480,4,1,750
Super built-up  Area,18-Apr,Jayamahal Extension,3412,3,,2500,3,,270
Plot  Area,Ready To Move,Devanahalli,3413,5,,2400,5,3,100
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3414,2,,1143,2,2,65
Super built-up  Area,Ready To Move,Kanakpura Road,3415,2,JRrnauv,1470,2,2,61.74
Plot  Area,Ready To Move,Laxminarayana Layout,3416,4,,1584,3,2,145
Super built-up  Area,Ready To Move,Marathahalli,3417,3,Vaoodar,1785,3,2,94
Super built-up  Area,Ready To Move,Koramangala,3418,3,,2292,3,2,286
Super built-up  Area,Ready To Move,Kothanur,3419,3,,1460,3,3,71
Super built-up  Area,Ready To Move,Kasturi Nagar,3420,3,,1500,2,3,80
Plot  Area,Ready To Move,Yelahanka,3421,5,,1200,4,1,140
Built-up  Area,Ready To Move,Sanjay nagar,3422,5,,3300,3,,250
Super built-up  Area,Ready To Move,Chikkalasandra,3423,2,,1230,2,2,48
Super built-up  Area,Ready To Move,Yelahanka New Town,3424,1,KHatsFl,650,1,1,20
Super built-up  Area,Ready To Move,Benson Town,3425,2,,1480,2,,120
Super built-up  Area,Ready To Move,Thanisandra,3426,2,MenueNo,1220,2,1,43.92
Super built-up  Area,Ready To Move,Dooravani Nagar,3427,3,Puceswn,1570,3,1,115
Built-up  Area,Ready To Move,Sadashiva Nagar,3428,3,,3000,3,3,400
Super built-up  Area,Ready To Move,Mallasandra,3429,3,Puestig,1665,3,2,86.91
Plot  Area,Ready To Move,Banagiri Nagar,3430,3,,1350,3,1,380
Plot  Area,Ready To Move,Sarjapur  Road,3431,4,Adeatlm,4000,5,2,600
Plot  Area,Ready To Move,Ramamurthy Nagar,3432,2,,1100,2,0,68
Super built-up  Area,Ready To Move,Kathriguppe,3433,3,Prone M,1350,2,1,87.01
Built-up  Area,Ready To Move,Kasavanhalli,3434,3,Salisal,1719,3,2,116
Super built-up  Area,Ready To Move,Budigere,3435,1,PrityTr,664,1,1,35
Super built-up  Area,18-Dec,Sonnenahalli,3436,2,Skacak ,1011,2,1,50.53
Built-up  Area,Ready To Move,Akshya Nagar,3437,6,,2400,6,0,130
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3438,3,,1680,3,2,85
Super built-up  Area,Ready To Move,Yeshwanthpur,3439,2,VSlistr,704,2,0,49.475
Plot  Area,Ready To Move,Thyagaraja Nagar,3440,4,,700,4,2,110
Super built-up  Area,Ready To Move,Whitefield,3441,3,Skstark,1520,2,2,150
Carpet  Area,Ready To Move,Uttarahalli,3442,3,Vancya ,1350,2,2,53
Super built-up  Area,15-Nov,Kothanur,3443,3,Somumys,1760,3,,150
Super built-up  Area,Ready To Move,Pattandur Agrahara,3444,2,Shvarji,875,2,1,33
Super built-up  Area,Ready To Move,Hennur,3445,2,Adity T,1231,2,2,48
